ID,fertilizer,manure,PM25,SO2density,NOX,AET,PPT,TEM,WIND
511041292,0,8098.749863,6.653497953,8733.190664,0.68915988,22.49542484,23.58852578,35.22657952,5.460203341
601011001,0,13.35470067,0,0,0,30.24,31.14,24.58,6
601011002,92.77888275,335.6438783,4.549999952,731.0161956,15.37915361,31.8,33.15,24.675,5.875
601011003,0,9.845377691,0,0,0,32.35,33.25,24.4,6
601021005,41.48175829,20.95509913,4.699999809,296.1614551,33.710283,29.88,31.26,24.5,6.2
601021011,0,0,0,0,0,0,0,0,0
601021012,0,60.86832949,0,0,0,29.16666667,30.53333333,23.6,6.016666667
601031013,0,0,0,0,0,34.9,35.1,24.25,6.2
601031014,0,0,0,0,0,38.45,37.1,23.45,6.05
601031020,39.20614334,0,4.850000143,393.5888115,22.56705988,34.3,34.2,24.26666667,5.833333333
601041022,0,0,5,178.2478595,17.46244893,35.56666667,35.26666667,23.46666667,5.766666667
601041023,0,0,0,0,0,30.5,31.25,23.3,5.95
601041024,0,30.16084245,4.900000095,90.69354975,12.85155231,42.53636364,37.2,22.63636364,5.745454545
601051033,0,0,0,0,0,34.1,34.6,24,6.1
601061034,0,171.9391822,4.625,111.6631877,2.394344088,37.38695652,38.49565217,23.42608696,6.239130435
601061035,0,1059.675383,4.460000038,140.3499852,5.511756632,36.69090909,37.83636364,23.96363636,5.981818182
602011037,0,0,0,0,0,33.9,32.8,26.2,4.2
602011038,0,6.749245973,0,0,0,0,0,0,0
602011039,233.4959866,109.7670464,5.300000191,35.02118646,23.16942217,37,35.5,25.7,4.6
602011041,82.72225723,4.282097856,5.199999809,232.3423561,80.40783052,36.4,34.45,25.65,4.6
602011044,0,14.91024417,0,0,0,36.4,35.1,25.7,4.5
602011045,0,0.725853988,0,0,0,33.6,32.2,26,4.4
602011046,0,111.2071792,0,0,0,38.76666667,37,25.43333333,4.4
602011050,218.8444984,4.354494394,5,50.56564185,9.64483724,35.96666667,34.1,25.83333333,4.433333333
602011052,0,6.489162769,5.199999809,1360.820258,624.0456908,0,0,0,0
602021053,0,370.5819669,5.549999952,3538.852053,143.9782257,38.90588235,35.72352941,24.46470588,5.029411765
602021054,0,4937.16272,5.091999969,85.77078833,1.653782803,90.26049383,57.68765432,21.59567901,4.085185185
602021055,458.6705594,206.697983,5.133333206,34.26990622,4.882134972,43.55217391,39.37391304,24.67391304,4.82173913
602021056,0,1195.746288,4.800000032,713.2652216,15.64292769,37.8125,36.425,25.7125,4.5
602021057,0,2704.363472,5.08571434,130.4995509,7.182281588,43.79761905,39.81904762,24.69047619,4.280952381
602031058,0,1351.287216,5.564285789,64.83655891,3.74822047,46.34074074,42.61111111,23.47160494,4.324691358
602031059,0,869.5337226,5.399999936,970.4454928,6.078504045,39.12173913,35.93913043,24.77826087,4.867391304
602031060,385.1162608,2807.473954,4.699999809,130.6872286,6.472921992,35.34705882,34.35294118,26.02352941,4.129411765
602031061,0,16528.77909,5.388679234,1581.684381,2.614022205,39.53255034,37.79295302,24.31208054,4.116778523
602031062,0,1558.822575,4.950000048,154.6966967,12.13111522,36.26666667,34.90666667,25.89333333,3.88
602031064,0,2937.110857,5.331428541,390.0394376,1.240958942,50.70841584,48.66435644,23.82574257,4.754950495
602031099,0,4012.39942,5.847058773,297.1946539,1.872045818,44.36916667,45.30166667,24.3425,4.903333333
602031100,0,8137.115701,5.522857148,176.8184826,2.462528713,44.39899497,41.47839196,24.4959799,4.588944724
603011065,0,8137.962014,5.232499999,9983.159024,1.737751284,55.76361607,45.44129464,21.8421875,3.802678571
603011066,0,1019.039709,4.976923062,123.1006523,2.831993615,65.3797619,46.83690476,21.70833333,5.058333333
603011067,0,10237.18946,5.180769242,157.599451,2.405428534,34.98484848,35.86969697,24.10666667,4.76
603021069,0,345.1192292,4.966666698,109.6270761,4.97429978,40.564,35.004,21.364,6.136
603021070,0,88.38345852,4.649999857,70.10076293,7.564800953,46.48,38.44666667,22.04666667,6.06
603021071,0,153.8784022,4.75000006,23.25679847,1.5606743,69.94727273,44.26909091,21.30545455,5.910909091
603021072,0,170.6146822,4.887499988,7.104462061,0.86726912,57.95116279,43.55581395,22.18372093,5.376744186
603031073,0,187.6637045,4.966666698,94.13224554,2.125923597,37.28863636,36.675,21.54318182,6.456818182
603031074,0,3127.566014,5.174193536,37.48670564,1.041662266,39.94480519,41.27402597,23.96233766,5.674025974
604011075,0,1.397567956,0,0,0,0,0,0,0
604011076,0,1640.449548,4.826666641,1428.123722,10.78830048,90.46941176,60.85647059,22.33176471,4.845882353
604011077,0,0.437526905,0,0,0,0,0,0,0
604011078,0,54.72233991,0,0,0,54.55,47.15,23.9,5.55
604011079,63.68230846,131.7671763,0,0,0,53.83333333,46.66666667,23.86666667,5.5
604011081,0,33.16015301,0,0,0,56.2,48,23.8,5.3
604011082,150.1647209,88.72711939,4.699999809,81.68985144,98.91304456,50.5,43.7,24.3,5.3
604011083,0,9.271475173,0,0,0,48.1,42.4,24.5,5.4
604011084,67.09892311,80.09429546,4.900000095,2.586454989,5.204283259,57.9,49,23.7,5.45
604021086,0,131.2173507,5.300000191,0,0,45,38.8,24.4,6
604021087,372.4524691,609.4180724,4.75,461.6595893,35.11086407,51.79230769,40.89230769,24.21538462,4.930769231
604021088,0,31.42765204,0,0,0,46.2,40,24.3,5.7
604021089,0,733.943682,5.199999968,55.2337912,6.483318233,43.6,37.96190476,24.23333333,5.371428571
604021090,0,18.48006715,0,0,0,48.2,41.2,24.4,5.3
604021091,0,1128.541166,4.887499928,85.52021448,4.809806083,97.92173913,65.9115942,22.18405797,4.439130435
604021092,49.91358915,170.0823238,4.699999809,33.5405895,21.18695002,53.9,43.95714286,23.92857143,5.185714286
604031093,0,5215.232299,3.936363654,403.1150492,3.402558832,39.54769231,39.69846154,23.07538462,5.346153846
604031094,0,8874.370921,5.01428574,122.8869366,0.914997934,81.15118644,57.26372881,22.5420339,5.584067797
604031095,24.91576609,1436.16563,4.950000048,2.811590167,0.713951227,54.74,47.3,23.38,5.66
604031096,0,1192.366406,5.055555476,5831.308934,5.245039249,115.1185185,73.97962963,21.67453704,5.009259259
604031097,0,86.31241201,5.074999961,5303.326269,3.451370776,131.648374,94.64227642,21.43902439,5.660162602
701021012,0,0,0,0,0,133,876.1,31.8,3.65
701031031,0,0,8.199999809,50.62044143,6.122610514,132.3666667,818.95,31.85,3.633333333
701031032,0,0.003361782,7.400000095,22.39218517,1.501953048,132.2375,727.7625,32,3.3625
701031033,0,288.3908758,8.71818187,44.45818574,3.502148949,131.5433962,762.1,31.93396226,3.426415094
701031034,0,0,8.100000381,33.61235884,10.4131126,133.25,782.15,31.9,3.75
701031035,0,468.1421422,7.44000001,2530.090586,3.95697488,132.5283582,675.3328358,32.12238806,3.140298507
702011045,0,9.030671663,5.900000095,64.93253988,75.73502817,10.1,10.6,38.2,2.4
702011049,0,217.81915,0,0,0,9.6,10.1,38.25,2.45
702011050,0,4782.580791,5.81780822,908.827032,0.201376009,17.85161398,18.77540071,39.73027605,3.403261354
702011051,0,21.37964206,6.150000095,198.9645766,12.62888556,8.933333333,9.433333333,38.47777778,2.344444444
702011052,0,9075.504761,6.261369624,481.2247479,0.311146531,25.72116855,27.06254206,39.31134904,2.794799633
702011053,0,2256.804068,4.96876112,604.3146968,0.138161607,76.69134408,80.67735907,38.878314,3.912362666
